cod_municipio;cod_completo;Nome_Municipio;Populacao_Estimada;cod_incompleto
00104;3100104;Abadia dos Dourados;6365;310010
00203;3100203;Abaet�;23161;310020
00302;3100302;Abre Campo;14312;310030
00401;3100401;Acaiaca;3997;310040
00500;3100500;A�ucena;8995;310050
00609;3100609;�gua Boa;12545;310060
00708;3100708;�gua Comprida;2165;310070
00807;3100807;Aguanil;4490;310080
00906;3100906;�guas Formosas;18841;310090
01003;3101003;�guas Vermelhas;14486;310100
01102;3101102;Aimor�s;26165;310110
01201;3101201;Aiuruoca;6382;310120
01300;3101300;Alagoa;2816;310130
01409;3101409;Albertina;3023;310140
01508;3101508;Al�m Para�ba;31333;310150
01607;3101607;Alfenas;81950;310160
01631;3101631;Alfredo Vasconcelos;7184;310163
01706;3101706;Almenara;41894;310170
01805;3101805;Alpercata;7029;310180
01904;3101904;Alpin�polis;18672;310190
02001;3102001;Alterosa;14253;310200
02050;3102050;Alto Capara�;5982;310205
53509;3153509;Alto Jequitib�;8596;315350
02100;3102100;Alto Rio Doce;10994;310210
02209;3102209;Alvarenga;4012;310220
02308;3102308;Alvin�polis;15360;310230
02407;3102407;Alvorada de Minas;4322;310240
02506;3102506;Amparo do Serra;4595;310250
02605;3102605;Andradas;42282;310260
02803;3102803;Andrel�ndia;12169;310280
02852;3102852;Angel�ndia;7860;310285
02902;3102902;Ant�nio Carlos;11345;310290
03009;3103009;Ant�nio Dias;9388;310300
03108;3103108;Ant�nio Prado de Minas;1558;310310
03207;3103207;Ara�a�;2224;310320
03306;3103306;Aracitaba;2095;310330
03405;3103405;Ara�ua�;35250;310340
03504;3103504;Araguari;122874;310350
03603;3103603;Arantina;2991;310360
03702;3103702;Araponga;8218;310370
03751;3103751;Arapor�;8935;310375
03801;3103801;Arapu�;2674;310380
03900;3103900;Ara�jos;9556;310390
04007;3104007;Arax�;117677;310400
04106;3104106;Arceburgo;9348;310410
04205;3104205;Arcos;43348;310420
04304;3104304;Areado;14212;310430
04403;3104403;Argirita;2725;310440
04452;3104452;Aricanduva;4820;310445
04502;3104502;Arinos;17598;310450
04601;3104601;Astolfo Dutra;14565;310460
04700;3104700;Atal�ia;13967;310470
04809;3104809;Augusto de Lima;4593;310480
04908;3104908;Baependi;18768;310490
05004;3105004;Baldim;7614;310500
05103;3105103;Bambu�;24144;310510
05202;3105202;Bandeira;4821;310520
05301;3105301;Bandeira do Sul;6146;310530
05400;3105400;Bar�o de Cocais;32095;310540
05509;3105509;Bar�o do Monte Alto;4991;310550
05608;3105608;Barbacena;129630;310560
05707;3105707;Barra Longa;5740;310570
05905;3105905;Barroso;20566;310590
06002;3106002;Bela Vista de Minas;10412;310600
06101;3106101;Belmiro Braga;3299;310610
06200;3106200;Belo Horizonte;2416339;310620
06309;3106309;Belo Oriente;24503;310630
06408;3106408;Belo Vale;8946;310640
06507;3106507;Berilo;9769;310650
06655;3106655;Berizal;4277;310665
06606;3106606;Bert�polis;4546;310660
06705;3106705;Betim;429236;310670
06804;3106804;Bias Fortes;3388;310680
06903;3106903;Bicas;14331;310690
07000;3107000;Biquinhas;2409;310700
07109;3107109;Boa Esperan�a;41332;310710
07208;3107208;Bocaina de Minas;5508;310720
07307;3107307;Bocai�va;49668;310730
07406;3107406;Bom Despacho;53995;310740
07505;3107505;Bom Jardim de Minas;6968;310750
07604;3107604;Bom Jesus da Penha;4642;310760
07703;3107703;Bom Jesus do Amparo;5775;310770
07802;3107802;Bom Jesus do Galho;14756;310780
07901;3107901;Bom Repouso;13183;310790
08008;3108008;Bom Sucesso;17510;310800
08107;3108107;Bonfim;7672;310810
08206;3108206;Bonfin�polis de Minas;5615;310820
08255;3108255;Bonito de Minas;10491;310825
08305;3108305;Borda da Mata;17811;310830
08404;3108404;Botelhos;15137;310840
08503;3108503;Botumirim;5841;310850
08701;3108701;Br�s Pires;4314;310870
08552;3108552;Brasil�ndia de Minas;15432;310855
08602;3108602;Bras�lia de Minas;33188;310860
08800;3108800;Bra�nas;4475;310880
08909;3108909;Braz�polis;14506;310890
09006;3109006;Brumadinho;40777;310900
09105;3109105;Bueno Brand�o;11161;310910
09204;3109204;Buen�polis;9229;310920
09253;3109253;Bugre;4149;310925
09303;3109303;Buritis;24693;310930
09402;3109402;Buritizeiro;24068;310940
09451;3109451;Cabeceira Grande;6797;310945
09501;3109501;Cabo Verde;11396;310950
09600;3109600;Cachoeira da Prata;3781;310960
09709;3109709;Cachoeira de Minas;12248;310970
02704;3102704;Cachoeira de Paje�;9333;310270
09808;3109808;Cachoeira Dourada;2346;310980
09907;3109907;Caetan�polis;11832;310990
10004;3110004;Caet�;39850;311000
10103;3110103;Caiana;5463;311010
10202;3110202;Cajuri;4186;311020
10301;3110301;Caldas;14588;311030
10400;3110400;Camacho;2867;311040
10509;3110509;Camanducaia;27551;311050
10608;3110608;Cambu�;30870;311060
10707;3110707;Cambuquira;12560;311070
10806;3110806;Campan�rio;2917;311080
10905;3110905;Campanha;16334;311090
11002;3111002;Campestre;21143;311100
11101;3111101;Campina Verde;18250;311110
11150;3111150;Campo Azul;3802;311115
11200;3111200;Campo Belo;53943;311120
11309;3111309;Campo do Meio;11624;311130
11408;3111408;Campo Florido;8838;311140
11507;3111507;Campos Altos;13136;311150
11606;3111606;Campos Gerais;26809;311160
11903;3111903;Cana Verde;5356;311190
11705;3111705;Cana�;4832;311170
11804;3111804;Can�polis;10755;311180
12000;3112000;Candeias;14236;311200
12059;3112059;Cantagalo;4039;311205
12109;3112109;Capara�;5144;311210
