cod_municipio;cod_completo;Nome_Municipio;Populacao_Estimada;cod_incompleto
12208;3112208;Capela Nova;4416;311220
12307;3112307;Capelinha;41536;311230
12406;3112406;Capetinga;6652;311240
12505;3112505;Capim Branco;11105;311250
12604;3112604;Capin�polis;14899;311260
12653;3112653;Capit�o Andrade;4650;311265
12703;3112703;Capit�o En�as;14401;311270
12802;3112802;Capit�lio;10863;311280
12901;3112901;Caputira;9128;311290
13008;3113008;Cara�;19654;311300
13107;3113107;Carana�ba;2960;311310
13206;3113206;Caranda�;24368;311320
13305;3113305;Carangola;32165;311330
13404;3113404;Caratinga;90687;311340
13503;3113503;Carbonita;8633;311350
13602;3113602;Carea�u;7029;311360
13701;3113701;Carlos Chagas;18852;311370
13800;3113800;Carm�sia;2682;311380
13909;3113909;Carmo da Cachoeira;11776;311390
14006;3114006;Carmo da Mata;11279;311400
14105;3114105;Carmo de Minas;14114;311410
14204;3114204;Carmo do Cajuru;24376;311420
14303;3114303;Carmo do Parana�ba;29899;311430
14402;3114402;Carmo do Rio Claro;21464;311440
14501;3114501;Carm�polis de Minas;18498;311450
14550;3114550;Carneirinho;9630;311455
14600;3114600;Carrancas;4153;311460
14709;3114709;Carvalh�polis;3417;311470
14808;3114808;Carvalhos;4507;311480
14907;3114907;Casa Grande;2260;311490
15003;3115003;Cascalho Rico;2757;311500
15102;3115102;C�ssia;17495;311510
15300;3115300;Cataguases;67872;311530
15359;3115359;Catas Altas;5668;311535
15409;3115409;Catas Altas da Noruega;3141;311540
15458;3115458;Catuji;7226;311545
15474;3115474;Catuti;4805;311547
15508;3115508;Caxambu;21436;311550
15607;3115607;Cedro do Abaet�;1091;311560
15706;3115706;Central de Minas;6243;311570
15805;3115805;Centralina;10440;311580
15904;3115904;Ch�cara;3177;311590
16001;3116001;Chal�;6261;311600
16100;3116100;Chapada do Norte;10024;311610
16159;3116159;Chapada Ga�cha;12810;311615
16209;3116209;Chiador;2865;311620
16308;3116308;Cipot�nea;5599;311630
16407;3116407;Claraval;4777;311640
16506;3116506;Claro dos Po��es;7259;311650
16605;3116605;Cl�udio;31665;311660
16704;3116704;Coimbra;7285;311670
16803;3116803;Coluna;8251;311680
16902;3116902;Comendador Gomes;2813;311690
17009;3117009;Comercinho;6627;311700
17108;3117108;Concei��o da Aparecida;10668;311710
15201;3115201;Concei��o da Barra de Minas;3596;311520
17306;3117306;Concei��o das Alagoas;29949;311730
17207;3117207;Concei��o das Pedras;2837;311720
17405;3117405;Concei��o de Ipanema;4503;311740
17504;3117504;Concei��o do Mato Dentro;24254;311750
17603;3117603;Concei��o do Par�;5567;311760
17702;3117702;Concei��o do Rio Verde;12780;311770
17801;3117801;Concei��o dos Ouros;11183;311780
17836;3117836;C�nego Marinho;7420;311783
17876;3117876;Confins;7676;311787
17900;3117900;Congonhal;11403;311790
18007;3118007;Congonhas;54986;311800
18106;3118106;Congonhas do Norte;4927;311810
18205;3118205;Conquista;6864;311820
18304;3118304;Conselheiro Lafaiete;137980;311830
18403;3118403;Conselheiro Pena;21113;311840
18502;3118502;Consola��o;1578;311850
18601;3118601;Contagem;649975;311860
18700;3118700;Coqueiral;9197;311870
18809;3118809;Cora��o de Jesus;26151;311880
18908;3118908;Cordisburgo;7592;311890
19005;3119005;Cordisl�ndia;3247;311900
19104;3119104;Corinto;23996;311910
19203;3119203;Coroaci;11200;311920
19302;3119302;Coromandel;30013;311930
19401;3119401;Coronel Fabriciano;108551;311940
19500;3119500;Coronel Murta;8283;311950
19609;3119609;Coronel Pacheco;2799;311960
19708;3119708;Coronel Xavier Chaves;3586;311970
19807;3119807;C�rrego Danta;2978;311980
19906;3119906;C�rrego do Bom Jesus;4429;311990
19955;3119955;C�rrego Fundo;6310;311995
20003;3120003;C�rrego Novo;2912;312000
20102;3120102;Couto de Magalh�es de Minas;4346;312010
20151;3120151;Cris�lita;5296;312015
20201;3120201;Cristais;12576;312020
20300;3120300;Crist�lia;5165;312030
20409;3120409;Cristiano Otoni;4735;312040
20508;3120508;Cristina;10627;312050
20607;3120607;Crucil�ndia;5633;312060
20706;3120706;Cruzeiro da Fortaleza;3610;312070
20805;3120805;Cruz�lia;15779;312080
20839;3120839;Cuparaque;3994;312083
20870;3120870;Curral de Dentro;7630;312087
20904;3120904;Curvelo;83862;312090
21001;3121001;Datas;5618;312100
21100;3121100;Delfim Moreira;8130;312110
21209;3121209;Delfin�polis;8760;312120
21258;3121258;Delta;11003;312125
21308;3121308;Descoberto;5058;312130
21407;3121407;Desterro de Entre Rios;7900;312140
21506;3121506;Desterro do Melo;3059;312150
21605;3121605;Diamantina;49353;312160
21704;3121704;Diogo de Vasconcelos;3596;312170
21803;3121803;Dion�sio;6789;312180
21902;3121902;Divin�sia;4426;312190
22009;3122009;Divino;21329;312200
22108;3122108;Divino das Laranjeiras;4186;312210
22207;3122207;Divinol�ndia de Minas;6607;312220
22306;3122306;Divin�polis;242328;312230
22355;3122355;Divisa Alegre;6513;312235
22405;3122405;Divisa Nova;5993;312240
22454;3122454;Divis�polis;10585;312245
22470;3122470;Dom Bosco;3767;312247
22504;3122504;Dom Cavati;4981;312250
22603;3122603;Dom Joaquim;5051;312260
22702;3122702;Dom Silv�rio;5350;312270
22801;3122801;Dom Vi�oso;3176;312280
22900;3122900;Dona Euz�bia;6241;312290
23007;3123007;Dores de Campos;10313;312300
23106;3123106;Dores de Guanh�es;5121;312310
23205;3123205;Dores do Indai�;12786;312320
23304;3123304;Dores do Turvo;5159;312330
23403;3123403;Dores�polis;1496;312340
23502;3123502;Douradoquara;1869;312350
23528;3123528;Durand�;8038;312352
23601;3123601;El�i Mendes;27343;312360
23700;3123700;Engenheiro Caldas;14308;312370
23809;3123809;Engenheiro Navarro;6411;312380
23858;3123858;Entre Folhas;5293;312385
23908;3123908;Entre Rios de Minas;15120;312390
24005;3124005;Erv�lia;20951;312400
24104;3124104;Esmeraldas;91573;312410
24203;3124203;Espera Feliz;24761;312420
24302;3124302;Espinosa;31385;312430
24401;3124401;Esp�rito Santo do Dourado;7007;312440
24500;3124500;Estiva;11836;312450
24609;3124609;Estrela Dalva;2204;312460
24708;3124708;Estrela do Indai�;2750;312470
24807;3124807;Estrela do Sul;6926;312480
24906;3124906;Eugen�polis;11075;312490
25002;3125002;Ewbank da C�mara;3977;312500
25101;3125101;Extrema;57913;312510
25200;3125200;Fama;2662;312520
25309;3125309;Faria Lemos;3239;312530
25408;3125408;Fel�cio dos Santos;5248;312540
25606;3125606;Felisburgo;6592;312560
25705;3125705;Felixl�ndia;14279;312570
25804;3125804;Fernandes Tourinho;2825;312580
25903;3125903;Ferros;9666;312590
25952;3125952;Fervedouro;10693;312595
26000;3126000;Florestal;8386;312600
26109;3126109;Formiga;70668;312610
26208;3126208;Formoso;8103;312620
26307;3126307;Fortaleza de Minas;3485;312630
26406;3126406;Fortuna de Minas;3207;312640
26505;3126505;Francisco Badar�;7208;312650
26604;3126604;Francisco Dumont;4564;312660
26703;3126703;Francisco S�;23819;312670
26752;3126752;Francisc�polis;5062;312675
26802;3126802;Frei Gaspar;5741;312680
26901;3126901;Frei Inoc�ncio;8334;312690
26950;3126950;Frei Lagonegro;3475;312695
27008;3127008;Fronteira;14909;312700
27057;3127057;Fronteira dos Vales;4405;312705
27073;3127073;Fruta de Leite;4607;312707
27107;3127107;Frutal;60942;312710
27206;3127206;Funil�ndia;4886;312720
27305;3127305;Galil�ia;6281;312730
27339;3127339;Gameleiras;4863;312733
27354;3127354;Glaucil�ndia;2991;312735
27370;3127370;Goiabeira;2869;312737
27388;3127388;Goian�;4190;312738
27404;3127404;Gon�alves;4891;312740
27503;3127503;Gonzaga;5271;312750
27602;3127602;Gouveia;11549;312760
27701;3127701;Governador Valadares;266649;312770
27800;3127800;Gr�o Mogol;14091;312780
27909;3127909;Grupiara;1426;312790
28006;3128006;Guanh�es;33434;312800
28105;3128105;Guap�;14073;312810
28204;3128204;Guaraciaba;9921;312820
28253;3128253;Guaraciama;5203;312825
28303;3128303;Guaran�sia;19611;312830
28402;3128402;Guarani;7780;312840
28501;3128501;Guarar�;3132;312850
28600;3128600;Guarda-Mor;6684;312860
28709;3128709;Guaxup�;52621;312870
28808;3128808;Guidoval;7284;312880
28907;3128907;Guimar�nia;8808;312890
29004;3129004;Guiricema;7850;312900
29103;3129103;Gurinhat�;5203;312910
29202;3129202;Heliodora;6274;312920
29301;3129301;Iapu;12486;312930
29400;3129400;Ibertioga;5334;312940
29509;3129509;Ibi�;22596;312950
29608;3129608;Ibia�;6254;312960
29657;3129657;Ibiracatu;5139;312965
29707;3129707;Ibiraci;11057;312970
29806;3129806;Ibirit�;178713;312980
29905;3129905;Ibiti�ra de Minas;3439;312990
30002;3130002;Ibituruna;2740;313000
30051;3130051;Icara� de Minas;10912;313005
30101;3130101;Igarap�;48475;313010
30200;3130200;Igaratinga;11252;313020
30309;3130309;Iguatama;6845;313030
30408;3130408;Ijaci;7291;313040
30507;3130507;Ilic�nea;13171;313050
30556;3130556;Imb� de Minas;7208;313055
30606;3130606;Inconfidentes;7510;313060
30655;3130655;Indaiabira;6379;313065
30705;3130705;Indian�polis;6309;313070
30804;3130804;Inga�;2633;313080
30903;3130903;Inhapim;23000;313090
31000;3131000;Inha�ma;6435;313100
31109;3131109;Inimutaba;7587;313110
31158;3131158;Ipaba;17554;313115
31208;3131208;Ipanema;20095;313120
31307;3131307;Ipatinga;235445;313130
31406;3131406;Ipia�u;3823;313140
31505;3131505;Ipui�na;9299;313150
31604;3131604;Ira� de Minas;7423;313160
31703;3131703;Itabira;117747;313170
31802;3131802;Itabirinha;10560;313180
31901;3131901;Itabirito;55877;313190
32008;3132008;Itacambira;4265;313200
32107;3132107;Itacarambi;17521;313210
32206;3132206;Itaguara;14325;313220
32305;3132305;Itaip�;10549;313230
32404;3132404;Itajub�;96632;313240
32503;3132503;Itamarandiba;34137;313250
32602;3132602;Itamarati de Minas;3730;313260
32701;3132701;Itambacuri;21296;313270
32800;3132800;Itamb� do Mato Dentro;2175;313280
32909;3132909;Itamogi;11062;313290
33006;3133006;Itamonte;15193;313300
33105;3133105;Itanhandu;15684;313310
33204;3133204;Itanhomi;11298;313320
33303;3133303;Itaobim;19354;313330
33402;3133402;Itapagipe;14004;313340
33501;3133501;Itapecerica;21462;313350
33600;3133600;Itapeva;13332;313360
33709;3133709;Itatiaiu�u;13603;313370
33758;3133758;Ita� de Minas;14655;313375
33808;3133808;Ita�na;102500;313380
33907;3133907;Itaverava;5752;313390
34004;3134004;Itinga;13982;313400
34103;3134103;Itueta;6218;313410
34202;3134202;Ituiutaba;106397;313420
34301;3134301;Itumirim;6845;313430
34400;3134400;Iturama;40011;313440
34509;3134509;Itutinga;4347;313450
34608;3134608;Jaboticatubas;21214;313460
34707;3134707;Jacinto;11169;313470
34806;3134806;Jacu�;7663;313480
34905;3134905;Jacutinga;26705;313490
35001;3135001;Jaguara�u;3173;313500
35050;3135050;Ja�ba;39379;313505
35076;3135076;Jampruca;4306;313507
35100;3135100;Jana�ba;73281;313510
35209;3135209;Janu�ria;67087;313520
35308;3135308;Japara�ba;4672;313530
35357;3135357;Japonvar;8357;313535
35407;3135407;Jeceaba;6428;313540
35456;3135456;Jenipapo de Minas;6124;313545
35506;3135506;Jequeri;12652;313550
35605;3135605;Jequita�;6460;313560
35704;3135704;Jequitib�;6098;313570
35803;3135803;Jequitinhonha;24509;313580
35902;3135902;Jesu�nia;5296;313590
36009;3136009;Joa�ma;14084;313600
36108;3136108;Joan�sia;4304;313610
36207;3136207;Jo�o Monlevade;83360;313620
36306;3136306;Jo�o Pinheiro;48532;313630
36405;3136405;Joaquim Fel�cio;3891;313640
36504;3136504;Jord�nia;10536;313650
36520;3136520;Jos� Gon�alves de Minas;3993;313652
36553;3136553;Jos� Raydan;4352;313655
36579;3136579;Josen�polis;3607;313657
36652;3136652;Juatuba;32726;313665
36702;3136702;Juiz de Fora;565764;313670
36801;3136801;Juramento;3815;313680
36900;3136900;Juruaia;11543;313690
36959;3136959;Juven�lia;5929;313695
37007;3137007;Ladainha;14399;313700
37106;3137106;Lagamar;6672;313710
37205;3137205;Lagoa da Prata;53583;313720
37304;3137304;Lagoa dos Patos;3285;313730
37403;3137403;Lagoa Dourada;13116;313740
37502;3137502;Lagoa Formosa;19507;313750
37536;3137536;Lagoa Grande;9210;313753
37601;3137601;Lagoa Santa;79981;313760
37700;3137700;Lajinha;21422;313770
37809;3137809;Lambari;20950;313780
37908;3137908;Lamim;3226;313790
38005;3138005;Laranjal;6042;313800
38104;3138104;Lassance;7358;313810
38203;3138203;Lavras;109884;313820
38302;3138302;Leandro Ferreira;3270;313830
38351;3138351;Leme do Prado;4387;313835
38401;3138401;Leopoldina;52696;313840
38500;3138500;Liberdade;4775;313850
38609;3138609;Lima Duarte;17712;313860
38625;3138625;Limeira do Oeste;9087;313862
38658;3138658;Lontra;8968;313865
38674;3138674;Luisburgo;7195;313867
38682;3138682;Luisl�ndia;6329;313868
38708;3138708;Lumin�rias;5731;313870
38807;3138807;Luz;18304;313880
38906;3138906;Machacalis;6579;313890
39003;3139003;Machado;38831;313900
39102;3139102;Madre de Deus de Minas;5341;313910
39201;3139201;Malacacheta;17751;313920
39250;3139250;Mamonas;6096;313925
39300;3139300;Manga;19188;313930
39409;3139409;Manhua�u;96545;313940
39508;3139508;Manhumirim;20970;313950
39607;3139607;Mantena;27358;313960
39805;3139805;Mar de Espanha;13119;313980
39706;3139706;Maravilhas;7518;313970
39904;3139904;Maria da F�;14557;313990
40001;3140001;Mariana;64058;314000
40100;3140100;Marilac;4320;314010
40159;3140159;M�rio Campos;16546;314015
40209;3140209;Marip� de Minas;3532;314020
40308;3140308;Marli�ria;4761;314030
40407;3140407;Marmel�polis;3299;314040
40506;3140506;Martinho Campos;14461;314050
40530;3140530;Martins Soares;8725;314053
40555;3140555;Mata Verde;9458;314055
40605;3140605;Materl�ndia;3982;314060
40704;3140704;Mateus Leme;40239;314070
71501;3171501;Mathias Lobato;3069;317150
40803;3140803;Matias Barbosa;14501;314080
40852;3140852;Matias Cardoso;8975;314085
40902;3140902;Matip�;19054;314090
41009;3141009;Mato Verde;12238;314100
41108;3141108;Matozinhos;39291;314110
41207;3141207;Matutina;3907;314120
41306;3141306;Medeiros;4040;314130
41405;3141405;Medina;20492;314140
41504;3141504;Mendes Pimentel;5651;314150
41603;3141603;Merc�s;10609;314160
41702;3141702;Mesquita;5038;314170
41801;3141801;Minas Novas;24191;314180
41900;3141900;Minduri;3815;314190
42007;3142007;Mirabela;14029;314200
42106;3142106;Miradouro;9026;314210
42205;3142205;Mira�;13922;314220
42254;3142254;Mirav�nia;4011;314225
42304;3142304;Moeda;5291;314230
42403;3142403;Moema;7778;314240
42502;3142502;Monjolos;2196;314250
42601;3142601;Monsenhor Paulo;8550;314260
42700;3142700;Montalv�nia;14160;314270
42809;3142809;Monte Alegre de Minas;20666;314280
42908;3142908;Monte Azul;20577;314290
43005;3143005;Monte Belo;13340;314300
43104;3143104;Monte Carmelo;49354;314310
43153;3143153;Monte Formoso;4449;314315
43203;3143203;Monte Santo de Minas;21301;314320
43401;3143401;Monte Si�o;24933;314340
43302;3143302;Montes Claros;434321;314330
43450;3143450;Montezuma;6979;314345
43500;3143500;Morada Nova de Minas;9364;314350
43609;3143609;Morro da Gar�a;2438;314360
43708;3143708;Morro do Pilar;3174;314370
43807;3143807;Munhoz;7857;314380
43906;3143906;Muria�;108161;314390
44003;3144003;Mutum;28670;314400
44102;3144102;Muzambinho;22527;314410
44201;3144201;Nacip Raydan;2437;314420
44300;3144300;Nanuque;35554;314430
44359;3144359;Naque;6442;314435
44375;3144375;Natal�ndia;3626;314437
44409;3144409;Nat�rcia;4800;314440
44508;3144508;Nazareno;8390;314450
44607;3144607;Nepomuceno;25774;314460
44656;3144656;Ninheira;10915;314465
44672;3144672;Nova Bel�m;3156;314467
44706;3144706;Nova Era;17807;314470
44805;3144805;Nova Lima;119142;314480
44904;3144904;Nova M�dica;3731;314490
45000;3145000;Nova Ponte;15113;314500
45059;3145059;Nova Porteirinha;6780;314505
45109;3145109;Nova Resende;16854;314510
45208;3145208;Nova Serrana;112910;314520
36603;3136603;Nova Uni�o;6083;313660
45307;3145307;Novo Cruzeiro;27453;314530
45356;3145356;Novo Oriente de Minas;10501;314535
45372;3145372;Novorizonte;4630;314537
45406;3145406;Olaria;1986;314540
45455;3145455;Olhos-d'�gua;5520;314545
45505;3145505;Ol�mpio Noronha;2616;314550
45604;3145604;Oliveira;40552;314560
45703;3145703;Oliveira Fortes;2062;314570
45802;3145802;On�a de Pitangui;3027;314580
45851;3145851;Orat�rios;5076;314585
45877;3145877;Oriz�nia;8759;314587
45901;3145901;Ouro Branco;40411;314590
46008;3146008;Ouro Fino;33227;314600
46107;3146107;Ouro Preto;77601;314610
46206;3146206;Ouro Verde de Minas;5858;314620
46255;3146255;Padre Carvalho;5085;314625
46305;3146305;Padre Para�so;17537;314630
46552;3146552;Pai Pedro;5634;314655
46404;3146404;Paineiras;4273;314640
46503;3146503;Pains;8341;314650
46602;3146602;Paiva;1498;314660
46701;3146701;Palma;5742;314670
46750;3146750;Palm�polis;6373;314675
46909;3146909;Papagaios;14207;314690
47105;3147105;Par� de Minas;102033;314710
47006;3147006;Paracatu;98397;314700
47204;3147204;Paragua�u;22357;314720
47303;3147303;Parais�polis;21005;314730
47402;3147402;Paraopeba;24800;314740
47600;3147600;Passa Quatro;15842;314760
47709;3147709;Passa Tempo;8696;314770
47808;3147808;Passa Vinte;2301;314780
47501;3147501;Passab�m;1617;314750
47907;3147907;Passos;116530;314790
47956;3147956;Patis;4863;314795
48004;3148004;Patos de Minas;167870;314800
48103;3148103;Patroc�nio;93852;314810
48202;3148202;Patroc�nio do Muria�;5735;314820
48301;3148301;Paula C�ndido;8786;314830
48400;3148400;Paulistas;4429;314840
48509;3148509;Pav�o;8168;314850
48608;3148608;Pe�anha;17843;314860
48707;3148707;Pedra Azul;24999;314870
48756;3148756;Pedra Bonita;7559;314875
48806;3148806;Pedra do Anta;3371;314880
48905;3148905;Pedra do Indai�;4232;314890
49002;3149002;Pedra Dourada;2883;314900
49101;3149101;Pedralva;10924;314910
49150;3149150;Pedras de Maria da Cruz;10619;314915
49200;3149200;Pedrin�polis;3404;314920
49309;3149309;Pedro Leopoldo;64910;314930
49408;3149408;Pedro Teixeira;1854;314940
49507;3149507;Pequeri;3448;314950
49606;3149606;Pequi;4258;314960
49705;3149705;Perdig�o;12925;314970
49804;3149804;Perdizes;17830;314980
49903;3149903;Perd�es;21991;314990
49952;3149952;Periquito;6647;314995
50000;3150000;Pescador;3587;315000
50109;3150109;Piau;2854;315010
50158;3150158;Piedade de Caratinga;8883;315015
50208;3150208;Piedade de Ponte Nova;4056;315020
50307;3150307;Piedade do Rio Grande;4697;315030
50406;3150406;Piedade dos Gerais;5175;315040
50505;3150505;Pimenta;8794;315050
50539;3150539;Pingo-d'�gua;4845;315053
50570;3150570;Pint�polis;7231;315057
50604;3150604;Piracema;6884;315060
50703;3150703;Pirajuba;5762;315070
50802;3150802;Piranga;17360;315080
50901;3150901;Pirangu�u;6271;315090
51008;3151008;Piranguinho;9451;315100
51107;3151107;Pirapetinga;11408;315110
51206;3151206;Pirapora;57543;315120
51305;3151305;Pira�ba;11958;315130
51404;3151404;Pitangui;27734;315140
51503;3151503;Piumhi;37742;315150
51602;3151602;Planura;11484;315160
51701;3151701;Po�o Fundo;16791;315170
51800;3151800;Po�os de Caldas;171533;315180
51909;3151909;Pocrane;8468;315190
52006;3152006;Pomp�u;32305;315200
52105;3152105;Ponte Nova;59569;315210
52131;3152131;Ponto Chique;3807;315213
52170;3152170;Ponto dos Volantes;11077;315217
52204;3152204;Porteirinha;38668;315220
52303;3152303;Porto Firme;10825;315230
52402;3152402;Pot�;13751;315240
52501;3152501;Pouso Alegre;160751;315250
52600;3152600;Pouso Alto;6755;315260
52709;3152709;Prados;9327;315270
52808;3152808;Prata;29578;315280
52907;3152907;Prat�polis;8551;315290
53004;3153004;Pratinha;3673;315300
53103;3153103;Presidente Bernardes;4883;315310
53202;3153202;Presidente Juscelino;3493;315320
53301;3153301;Presidente Kubitschek;3154;315330
53400;3153400;Presidente Oleg�rio;19177;315340
53608;3153608;Prudente de Morais;11940;315360
53707;3153707;Quartel Geral;3237;315370
53806;3153806;Queluzito;1800;315380
53905;3153905;Raposos;16735;315390
54002;3154002;Raul Soares;23882;315400
54101;3154101;Recreio;11337;315410
54150;3154150;Reduto;8170;315415
54200;3154200;Resende Costa;11520;315420
54309;3154309;Resplendor;17612;315430
54408;3154408;Ressaquinha;4641;315440
54457;3154457;Riachinho;6890;315445
54507;3154507;Riacho dos Machados;8886;315450
54606;3154606;Ribeir�o das Neves;344828;315460
54705;3154705;Ribeir�o Vermelho;4201;315470
54804;3154804;Rio Acima;10626;315480
54903;3154903;Rio Casca;12921;315490
55108;3155108;Rio do Prado;4679;315510
55009;3155009;Rio Doce;2542;315500
55207;3155207;Rio Espera;5479;315520
55306;3155306;Rio Manso;5727;315530
55405;3155405;Rio Novo;8689;315540
55504;3155504;Rio Parana�ba;15143;315550
55603;3155603;Rio Pardo de Minas;29123;315560
55702;3155702;Rio Piracicaba;15001;315570
55801;3155801;Rio Pomba;17856;315580
55900;3155900;Rio Preto;5240;315590
56007;3156007;Rio Vermelho;12815;315600
56106;3156106;Rit�polis;5115;315610
56205;3156205;Rochedo de Minas;2363;315620
56304;3156304;Rodeiro;9064;315630
56403;3156403;Romaria;3440;315640
56452;3156452;Ros�rio da Limeira;4896;315645
56502;3156502;Rubelita;5572;315650
56601;3156601;Rubim;10575;315660
56700;3156700;Sabar�;134286;315670
56809;3156809;Sabin�polis;14382;315680
56908;3156908;Sacramento;27891;315690
57005;3157005;Salinas;41641;315700
57104;3157104;Salto da Divisa;6164;315710
57203;3157203;Santa B�rbara;31756;315720
57252;3157252;Santa B�rbara do Leste;8737;315725
57278;3157278;Santa B�rbara do Monte Verde;3199;315727
57302;3157302;Santa B�rbara do Tug�rio;4262;315730
57336;3157336;Santa Cruz de Minas;8321;315733
57377;3157377;Santa Cruz de Salinas;3944;315737
57401;3157401;Santa Cruz do Escalvado;4743;315740
